"species","Id_species","beta_intercept","beta_temp","beta_prec","beta_sais_temp","beta_sais_prec","beta_cwd","beta_temp2","beta_prec2","beta_sais_temp2","beta_sais_prec2","beta_cwd2","lambda_1","lambda_2"
"Sapium melanostictum",259,-4.32201441013742,16.6565830219734,9.476916916932,3.32039008671989,0.572117612086654,-0.130691939349159,-17.0249381897742,-10.5952709489692,-1.70469294535059,0.212646733139648,0.315991102068683,-0.114459174786703,-0.0630172367160649
"Eugenia hompa",260,-42.426644758108,215.992953820048,-9.96010544367671,-28.318615751908,91.9433258492269,-94.736870577114,-210.018484850882,-11.5433850998633,16.024829921951,-86.7011856911408,72.4298966046279,-3.0378034726301,3.59548648250714
"Tetrapterocarpon geayi",261,-6.16834516633096,4.39275598340111,-1.46697611632726,0.971771011419235,0.742632536204469,5.93356201894478,-3.43159190052451,2.0609842682099,-0.820101556168583,0.162341749655185,-4.08101971879911,0.484902630491113,-0.304774521880913
"Stereospermum euphorioides",262,-32.2642408641338,-74.8013787592241,9.64568359489931,10.4876229383513,74.6706263192876,-52.0799563799775,96.9815307920667,-13.61138394997,-20.2817594606786,-50.0077217446359,12.5248186862505,-0.167072716929735,0.271051395381962
"Ehretia corymbosa",263,-6.66589286811049,5.97046456419321,14.0593107005409,4.19679312216263,-1.06155043287694,-0.112869048308134,-4.89047416665109,-16.5901896826375,-3.91033923975171,2.32628934877395,-1.81772618622209,-0.54195642388856,0.779769882920051
"Rhopalocarpus lucidus",264,-21.1678179015321,-0.134272786135337,-8.57542044110569,1.96795622396399,50.3064831235353,-4.22463479788118,6.20008160684278,9.49796499191539,-5.0867248233829,-37.2226987630544,-0.952201545857037,0.473630977757187,-0.240404244754572
"Baudouinia fluggeiformis",265,-31.1356417376558,25.852486701029,11.43144451748,22.094246117802,57.1636877200116,-6.53142161529688,-18.037639760154,-12.5422490008049,-25.8893632247875,-45.0000569557472,6.4441546770675,0.697687793564635,-0.591467446183482
"Ficus cocculifolia",266,-46.8608463155228,226.501822233455,135.533317427347,330.395350870633,77.8454641051142,124.065720626456,-263.679021760723,-122.562694940782,-253.872913609317,-136.637052281176,17.4789784451496,0.592432568371167,0.872211277841298
"Bismarckia nobilis",267,-37.3518591636598,169.483462218082,1.13098683763111,150.918158011129,25.5386260225624,84.6737672786841,-172.138053285641,16.927284809323,-113.130069140591,-38.1418879448137,-30.5925999462868,-5.27170635102678,0.777129768819236
"Ficus soroceoides",268,-24.9948216788657,58.4468001139124,101.988497841408,96.2729392977499,-19.1525510882302,2.17513208163212,-58.8435780175673,-93.8226006338865,-88.189835652294,16.0078255488408,9.77125733640982,-1.48092293673334,1.32466418336044
"Chaetachme madagascariensis",269,-34.5997138286416,28.9166392889579,15.5543052041139,69.616148462461,60.2430301878322,19.1632565255449,-46.0454524129978,-15.0701921474966,-28.4672007028363,-46.295495981805,3.58520160691604,-2.15356669531238,1.75846346513815
"Grewia cyclea",270,-38.0567916771533,25.2179921893613,56.7524292618189,-25.3839283562208,49.4905986943831,-46.3363164301873,-39.4982658908016,-78.1660418685539,27.5203347360775,-40.0518843798382,59.1321775294216,0.518903130070961,-7.40273930567773
"Phyllanthus casticum",271,-28.2632239061663,74.0272313947404,24.551593413432,42.9187354589504,23.6597479374146,-30.1055811226871,-64.9235953841976,-33.9142306606232,-32.7722554635415,-15.7715290250758,19.568339949792,0.449236098091828,-0.559318915892243
"Albizia bernieri",272,-8.5980518856503,-10.4170724870994,-4.48340631852084,-2.26839755567503,-5.74278959228755,12.1550107911734,9.07917717967025,4.92295950334788,2.50136162780554,6.14933437433943,-8.24512195785245,-1.05683341227134,0.971833486212893
"Tamarindus indica",273,-27.5001488814857,-18.6042051178504,27.8823652497894,76.790745068614,-8.82723360745724,7.47266167555956,16.5945024011912,-16.0530543412652,-73.3948632356834,2.82756604152992,13.8189051646085,2.75687954053469,-7.78657086206555
"Rheedia madagascariensis",274,-50.7168505083549,172.475230439643,-81.7651234803706,138.541554630208,-37.5122154369882,59.7951531353731,-173.897898263907,103.193162185365,-84.510514320967,30.4938858165222,-12.9708164103615,-2.04725576162135,-3.67397836144792
"Benthamia madagascariensis",275,-45.0175236743866,209.833822457147,157.620621031024,35.9539863388691,-24.8251243208382,54.6653868674087,-235.094418864533,-173.975206091416,-15.7204837145175,14.5056242385631,10.4203218952995,1.43667400195807,0.252529659469288
"Vernonia grandis",276,-43.0654892973847,186.915886306058,-29.3247497545658,119.921510975727,-27.2461490472332,42.1351712563761,-178.944437219422,37.7741068430618,-106.331972275685,18.5147830142517,-11.596898834267,-3.0935877556207,-0.930585245937983
"Dalbergia purpurescens",277,-23.4720086133962,76.5025481664182,15.3996393262896,27.7618330840984,55.1400573576211,17.7757700229225,-79.0768668589989,-11.807550682118,-18.3291647448542,-45.5310002479008,-4.45411765371247,-5.52921344142759,-0.536193287263301
"Commiphora arafy",278,-5.18030208382822,2.78584243685631,1.01653938477346,6.68769831753364,2.77010357731573,3.24341073440822,-2.35084382547634,-0.857081699495991,-9.31887233905339,-2.96357130901118,-1.62578758488337,-0.00470009134563849,0.13916198499564
"Rothmannia NA",279,-63.124366324666,104.181265211527,-34.2113617563726,178.437981658968,-83.7468078653871,102.587475698567,-108.873697324937,46.7453093074546,-143.203913213897,67.9089644177626,-47.1271178413685,-3.52833360919911,3.64927770503506
"Zanthoxylum decaryi",280,-8.92692478563998,61.5344187970859,3.28097372631033,-3.07149242083701,11.2405446856539,-12.7993105542623,-53.3718299732071,-4.32268767295344,2.32172975917139,-8.39914013760165,8.54573299170305,0.239051128362867,0.948028679592904
"Grewia brideliaefolia",281,-39.8713729076945,258.173034583826,156.712149879579,64.6921194477222,20.3339776578011,39.9764237003671,-273.435069759522,-149.540760013219,-34.4500656789147,-5.17993826556972,-9.05826524458319,2.16475261623282,0.993626170807934
"Millettia pervilleana",282,-33.9360058502224,-8.50452003133269,75.4400131582484,-16.3948484893922,-19.0283702375191,4.7427582852425,17.6040415155188,-80.0732834789863,10.3006709454522,36.0262551236893,-26.2561892082401,0.359589232539042,0.264238553467035
"Henonia scoparia",283,-53.7384025690858,522.563964552529,113.098816436847,303.221064550159,-23.6054148713858,93.5371265713266,-594.911465021683,-104.10234655502,-238.625465252508,0.100540437975264,58.66333434769,0.671110281020187,2.7940435752229
